取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/12/20 20:37:33,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02160075225751347207
2025/12/20 16:19:21,416,-,-,-,-,-,支払い,ファミリーマート - 矢向駅西,"PayPayポイント (30円), PayPay残高 (386円)",-,-,04871090438422347776
2025/12/20 16:19:21,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04871090438422347776
2025/12/20 00:23:39,914,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04870597865802792961
2025/12/20 00:23:38,-,8,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04870597865802792961
2025/12/20 00:23:22,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02159449440426483721
2025/12/19 19:28:48,-,6,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04870445901269606405
2025/12/19 19:28:48,778,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04870445901269606405
2025/12/19 19:28:44,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02159297596152561682
2025/12/19 14:42:27,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04870298317603479555
2025/12/19 14:42:27,348,-,-,-,-,-,支払い,ファミリーマート - 渋谷ガーデンフロント,"PayPayポイント (7円), PayPay残高 (341円)",-,-,04870298317603479555
2025/12/18 18:49:15,808,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04869683347005833218
2025/12/18 18:49:14,-,8,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04869683347005833218
2025/12/18 18:49:08,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02158535016119255057
2025/12/18 14:39:14,110,-,-,-,-,-,支払い,セリア - 2441西友三軒茶屋店,"PayPayポイント (6円), PayPay残高 (104円)",-,-,04869554497987698689
2025/12/17 18:30:56,514,-,-,-,-,-,支払い,セブン-イレブン - 世田谷三軒茶屋２丁目,"PayPayポイント (8円), PayPay残高 (506円)",-,-,04868931744909516801
2025/12/17 18:30:56,-,4,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04868931744909516801
2025/12/17 18:30:48,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02157783396842446862
2025/12/17 01:44:18,461,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,"PayPayポイント (11円), PayPay残高 (450円)",-,-,04868412930039365632
2025/12/17 01:44:18,-,4,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04868412930039365632
2025/12/16 17:18:45,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04868152362962165763
2025/12/16 17:18:45,657,-,-,-,-,-,支払い,セブン-イレブン - 世田谷三軒茶屋２丁目,"PayPayポイント (35円), PayPay残高 (622円)",-,-,04868152362962165763
2025/12/16 17:18:41,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02157004049256783878
2025/12/16 13:35:00,"4,950",-,-,-,-,JP,送った金額,オノ,PayPay残高,-,-,02156888772334804992
2025/12/16 13:34:03,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02156888282708344835
2025/12/15 21:06:49,941,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04867527745869160450
2025/12/15 21:06:49,-,8,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04867527745869160450
2025/12/15 21:06:42,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02156379406393237512
2025/12/15 14:53:12,831,-,-,-,-,-,支払い,西友 - 三軒茶屋店,"PayPayポイント (5円), PayPay残高 (826円)",-,-,04867335185305427970
2025/12/15 14:53:12,-,8,-,-,-,-,ポイント、残高の獲得,西友,PayPayポイント,-,-,04867335185305427970
2025/12/14 18:00:22,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04866689471331696647
2025/12/14 18:00:22,645,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04866689471331696647
2025/12/14 17:12:32,138,-,-,-,-,-,支払い,セブン-イレブン - 世田谷区役所前,"PayPayポイント (9円), PayPay残高 (129円)",-,-,04866664826809737218
2025/12/13 21:06:17,-,30,-,-,-,-,ポイント、残高の獲得,ヤマダデンキ,PayPayポイント,-,-,04866043121702682627
2025/12/13 21:06:17,"3,069",-,-,-,-,-,支払い,ヤマダデンキ - LABI渋谷,PayPay残高,-,-,04866043121702682627
2025/12/13 11:59:03,744,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,"PayPayポイント (18円), PayPay残高 (726円)",-,-,04865761088380870657
2025/12/13 11:59:03,-,6,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04865761088380870657
2025/12/13 00:53:45,676,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04865418195371646976
2025/12/13 00:53:45,-,6,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04865418195371646976
2025/12/13 00:53:42,-,"6,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02154269881666150414
2025/12/12 20:00:56,537,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04865267278811283458
2025/12/12 20:00:56,-,4,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04865267278811283458
2025/12/12 13:55:40,-,10,-,-,-,-,ポイント、残高の獲得,西友,PayPayポイント,-,-,04865079013214330887
2025/12/12 13:55:40,"1,116",-,-,-,-,-,支払い,西友 - 三軒茶屋店,"PayPayポイント (10円), PayPay残高 (1,106円)",-,-,04865079013214330887
2025/12/11 23:23:46,-,4,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04864629639376281602
2025/12/11 23:23:46,536,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04864629639376281602
2025/12/11 21:29:39,226,-,-,-,-,-,支払い,ファミリーマート - 成田空港駅,"PayPayポイント (134円), PayPay残高 (92円)",-,-,04864570832684204032
2025/12/03 19:53:12,-,"2,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02147435472005840916
2025/12/02 10:42:14,487,-,-,-,-,-,支払い,ローソン - 成田国際空港第３旅客ターミナル,"PayPayポイント (7円), PayPay残高 (480円)",-,-,04857557623534419970
2025/12/02 10:42:14,-,4,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04857557623534419970
2025/12/02 01:10:29,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04857262937237536770
2025/12/02 01:10:29,399,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04857262937237536770
2025/12/02 01:10:23,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02146114614943481856
2025/12/01 18:47:24,-,3,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04857065497591357448
2025/12/01 18:47:24,645,-,-,-,-,-,支払い,セブン-イレブン - 世田谷三軒茶屋２丁目,PayPay残高,-,-,04857065497591357448
2025/12/01 18:38:57,"1,696",-,-,-,-,-,支払い,西友 - 三軒茶屋店,PayPay残高,-,-,04857061151084224512
2025/12/01 18:38:57,-,8,-,-,-,-,ポイント、残高の獲得,西友,PayPayポイント,-,-,04857061151084224512
2025/12/01 18:38:48,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02145912785840308236
2025/12/01 18:27:46,223,-,-,-,-,-,支払い,セリア - 2441西友三軒茶屋店,PayPay残高,-,-,04857055378648735748
2025/12/01 18:27:45,-,1,-,-,-,-,ポイント、残高の獲得,セリア,PayPayポイント,-,-,04857055378648735748
2025/12/01 12:51:58,-,3,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04856882308646600706
2025/12/01 12:51:58,708,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,"PayPayポイント (23円), PayPay残高 (685円)",-,-,04856882308646600706
2025/12/01 12:51:54,-,"2,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02145733994941677588
2025/12/01 00:10:38,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04856489920434307073
2025/12/01 00:10:38,438,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04856489920434307073
2025/11/30 19:36:24,367,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04856348590240137218
2025/11/30 19:36:24,-,1,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04856348590240137218
2025/11/30 19:36:20,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02145200276535754756
2025/11/30 19:17:59,-,4,-,-,-,-,ポイント、残高の獲得,吉野家,PayPayポイント,-,-,04856339089772519432
2025/11/30 19:17:59,844,-,-,-,-,-,支払い,吉野家 - 三軒茶屋店,"PayPayポイント (4円), PayPay残高 (840円)",-,-,04856339089772519432
2025/11/30 02:58:13,"4,680",-,-,-,-,-,支払い,鳥貴族 - 鳥貴族　三軒茶屋店,"PayPayポイント (55円), PayPay残高 (4,625円)",-,-,04855834130467815424
2025/11/30 02:58:13,-,23,-,-,-,-,ポイント、残高の獲得,鳥貴族,PayPayポイント,-,-,04855834130467815424
2025/11/30 02:58:05,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02144685782403268610
2025/11/29 23:09:31,239,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04855716259384606720
2025/11/29 23:09:31,-,1,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04855716259384606720
2025/11/29 16:30:14,-,2,-,-,-,-,ポイント、残高の獲得,東急ストア,PayPayポイント,-,-,04855510461732339717
2025/11/29 16:30:14,484,-,-,-,-,-,支払い,東急ストア - 三軒茶屋東急ストア　アンデルセン,PayPay残高,-,-,04855510461732339717
2025/11/29 16:29:11,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02144361649811660811
2025/11/29 16:19:42,113,-,-,-,-,-,支払い,セリア - 2441西友三軒茶屋店,PayPay残高,-,-,04855505041483268099
2025/11/29 14:32:53,598,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,"PayPayポイント (3円), PayPay残高 (595円)",-,-,04855449980002615301
2025/11/29 14:32:52,-,2,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04855449980002615301
2025/11/29 14:32:45,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02144301640528306178
2025/11/29 04:19:28,"3,500",-,-,-,-,-,送った金額,宮元健斗だよ,PayPay残高,-,-,02143985556705296384
2025/11/29 04:19:26,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02143985539525263362
2025/11/28 23:49:00,-,30,-,-,-,-,ポイント、残高の獲得,ASOBIBAR,PayPayポイント,-,-,04854994430001250306
2025/11/28 23:49:00,"6,000",-,-,-,-,-,支払い,ASOBIBAR - 新宿歌舞伎町タワー前店,PayPay残高,-,-,04854994430001250306
2025/11/28 23:48:43,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02143846013217710080
2025/11/28 17:37:17,-,3,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04854802848689790980
2025/11/28 17:37:17,771,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04854802848689790980
2025/11/28 12:14:17,-,6,-,-,-,-,ポイント、残高の獲得,anydeli,PayPayポイント,-,-,04854636375758192652
2025/11/28 12:14:16,"1,380",-,-,-,-,-,支払い,anydeli,PayPay残高,-,-,04854636375758192652
2025/11/27 23:03:45,"4,290",-,-,-,-,-,送った金額,栗原健太郎,PayPay残高,-,-,02143080667224424453
2025/11/27 19:49:42,-,8,-,-,-,-,ポイント、残高の獲得,渋谷スクランブルスクエア,PayPayポイント,-,-,04854128925372219397
2025/11/27 19:49:42,"1,620",-,-,-,-,-,支払い,渋谷スクランブルスクエア - Butter Butler,PayPay残高,-,-,04854128925372219397
2025/11/27 16:03:26,230,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,"PayPayポイント (14円), PayPay残高 (216円)",-,-,04854012317010026496
2025/11/27 16:03:26,-,1,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04854012317010026496
2025/11/26 21:39:15,-,"6,900",-,-,-,JP,受け取った金額,杏海,PayPay残高,-,-,02142294937317425158
2025/11/26 21:38:47,-,"6,866",-,-,-,JP,受け取った金額,ok,PayPay残高,-,-,02142294705390002176
2025/11/25 23:44:31,592,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04852765616853123073
2025/11/25 23:44:31,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04852765616853123073
2025/11/25 18:07:28,-,4,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04852591894015803401
2025/11/25 18:07:28,849,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04852591894015803401
2025/11/25 18:07:23,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02141443571721134094
2025/11/25 12:43:36,"2,000",-,-,-,-,JP,送った金額,🧌,PayPay残高,-,-,02141276695061905414
2025/11/25 06:07:43,523,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04852220946280071169
2025/11/25 06:07:43,-,2,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04852220946280071169
2025/11/25 05:39:45,-,2,-,-,-,-,ポイント、残高の獲得,カラオケルーム歌広場,PayPayポイント,-,-,04852206523779997696
2025/11/25 05:39:45,550,-,-,-,-,-,支払い,カラオケルーム歌広場 - 歌広場 新宿区役所前店,"PayPayポイント (13円), PayPay残高 (537円)",-,-,04852206523779997696
2025/11/24 17:18:40,30,-,-,-,-,-,支払い,ユニクロ - キャロットタワー三軒茶屋とうきゅう店,PayPay残高,-,-,04851824580928192515
2025/11/24 07:13:57,"3,486",-,-,-,-,-,支払い,阿蘇くまもと空港 - 熊本エアポートサービス　3階,"PayPayポイント (29円), PayPay残高 (3,457円)",-,-,04851512912331513856
2025/11/24 07:13:57,-,17,-,-,-,-,ポイント、残高の獲得,阿蘇くまもと空港,PayPayポイント,-,-,04851512912331513856
2025/11/24 07:13:48,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02140364547087392778
2025/11/23 21:23:53,-,17,-,-,-,-,ポイント、残高の獲得,Qoo10,PayPayポイント,-,-,04851208759927341056
2025/11/23 21:23:49,"3,424",-,-,-,-,-,支払い,Qoo10,"PayPayポイント (5円), PayPay残高 (3,419円)",-,-,04851208759927341056
2025/11/23 15:17:06,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02139871467662090265
2025/11/22 16:25:07,"1,242",-,-,-,-,-,支払い,日本空港ビルデング - 00東京食賓館Ｂ,PayPay残高,-,-,04850312640770441218
2025/11/22 16:25:07,-,6,-,-,-,-,ポイント、残高の獲得,日本空港ビルデング,PayPayポイント,-,-,04850312640770441218
2025/11/22 16:24:13,"1,296",-,-,-,-,-,支払い,日本空港ビルデング - 00東京食賓館Ｂ,PayPay残高,-,-,04850312176914563078
2025/11/22 16:24:13,-,6,-,-,-,-,ポイント、残高の獲得,日本空港ビルデング,PayPayポイント,-,-,04850312176914563078
2025/11/22 16:23:09,"1,296",-,-,-,-,-,支払い,日本空港ビルデング - 00東京食賓館Ｂ,"PayPayポイント (7円), PayPay残高 (1,289円)",-,-,04850311627158552577
2025/11/22 16:23:09,-,6,-,-,-,-,ポイント、残高の獲得,日本空港ビルデング,PayPayポイント,-,-,04850311627158552577
2025/11/22 16:23:05,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02139163304864169996
2025/11/22 01:39:17,"4,900",-,-,-,-,-,支払い,Cafe ＆ SHISHA BAR oranger,PayPay残高,-,-,04849856085747154948
2025/11/22 01:39:17,-,24,-,-,-,-,ポイント、残高の獲得,Cafe ＆ SHISHA BAR oranger,PayPayポイント,-,-,04849856085747154948
2025/11/22 01:38:25,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02138707351136108544
2025/11/21 21:15:57,391,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04849720364780421120
2025/11/21 21:15:57,-,1,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04849720364780421120
2025/11/21 17:34:29,-,4,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04849606213139456009
2025/11/21 17:34:29,875,-,-,-,-,-,支払い,セブン-イレブン - 世田谷三軒茶屋２丁目,"PayPayポイント (1円), PayPay残高 (874円)",-,-,04849606213139456009
2025/11/21 03:35:01,"2,050",-,-,-,-,-,送った金額,村田雅弥,PayPay残高,-,-,02138025284558594048
2025/11/21 03:34:59,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02138025258789806080
2025/11/21 02:02:53,-,350,-,-,-,JP,受け取った金額,村田雅弥,PayPay残高,-,-,02137977799401054208
2025/11/21 01:49:58,-,550,-,-,-,JP,受け取った金額,村田雅弥,PayPay残高,-,-,02137971133611057156
2025/11/20 22:44:16,"5,500",-,-,-,-,-,支払い,ASOBIBAR - 渋谷横丁前店,PayPay残高,-,-,04849023712495181826
2025/11/20 22:44:16,-,27,-,-,-,-,ポイント、残高の獲得,ASOBIBAR,PayPayポイント,-,-,04849023712495181826
2025/11/20 22:44:14,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02137875415970783244
2025/11/20 22:12:59,"5,000",-,-,-,-,-,送った金額,村田雅弥,PayPay残高,-,-,02137859309842481152
2025/11/20 22:12:57,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02137859292663619589
2025/11/20 11:49:53,727,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,"PayPayポイント (5円), PayPay残高 (722円)",-,-,04848686445893935104
2025/11/20 11:49:53,-,3,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04848686445893935104
2025/11/19 19:31:22,608,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,PayPay残高,-,-,04848182122243825665
2025/11/19 19:31:22,-,3,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04848182122243825665
2025/11/19 14:52:57,230,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,PayPay残高,-,-,04848038627385901056
2025/11/19 14:52:57,-,1,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04848038627385901056
2025/11/19 13:58:05,632,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,"PayPayポイント (10円), PayPay残高 (622円)",-,-,04848010340731576324
2025/11/19 13:58:04,-,3,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04848010340731576324
2025/11/18 18:47:44,497,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,"PayPayポイント (2円), PayPay残高 (495円)",-,-,04847417463446347780
2025/11/18 18:47:44,-,2,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04847417463446347780
2025/11/18 03:04:21,987,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04846931238788390913
2025/11/18 03:04:20,-,4,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04846931238788390913
2025/11/17 19:57:22,925,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04846711181842751489
2025/11/17 19:57:22,-,4,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04846711181842751489
2025/11/17 12:24:52,-,1,-,-,-,-,ポイント、残高の獲得,ローソン,PayPayポイント,-,-,04846477956528652300
2025/11/17 12:24:52,392,-,-,-,-,-,支払い,ローソン - Ａｂｅｍａ　Ｔｏｗｅｒｓ,PayPay残高,-,-,04846477956528652300
2025/11/17 11:57:58,-,11,-,-,-,-,ポイント、残高の獲得,ミネドラッグ,PayPayポイント,-,-,04846464092374392836
2025/11/17 11:57:58,"2,310",-,-,-,-,-,支払い,ミネドラッグ - ミネドラッグ　三軒茶屋店,"PayPayポイント (3円), PayPay残高 (2,307円)",-,-,04846464092374392836
2025/11/17 00:13:15,749,-,-,-,-,-,支払い,ファミリーマート - 三軒茶屋二丁目,PayPay残高,-,-,04846100892760498176
2025/11/17 00:13:15,-,3,-,-,-,-,ポイント、残高の獲得,ファミリーマート,PayPayポイント,-,-,04846100892760498176
2025/11/16 21:24:36,-,1,-,-,-,-,ポイント、残高の獲得,セブン-イレブン,PayPayポイント,-,-,04846013962621648896
2025/11/16 21:24:36,366,-,-,-,-,-,支払い,セブン-イレブン - 世田谷上馬２丁目,PayPay残高,-,-,04846013962621648896
2025/11/16 21:19:38,"10,500",-,-,-,-,-,送った金額,村田雅弥,PayPay残高,-,-,02134863132066783232
